species,dd long,dd lat
bradypus_variegatus_0,-65.3833,-10.3833
bradypus_variegatus_0,-63.6667,-17.45
bradypus_variegatus_0,-64.4167,-16
bradypus_variegatus_0,-52.6667,-3.8333
bradypus_variegatus_0,-55.55,-1.9167
bradypus_variegatus_0,-55.2833,-3.45
bradypus_variegatus_0,-49.5,-2.25
bradypus_variegatus_0,-46.7333,-23.45
bradypus_variegatus_0,-76.2667,7.0167
bradypus_variegatus_0,-76.7167,8.1
bradypus_variegatus_0,-75.05,7.35
bradypus_variegatus_0,-74,10.3
bradypus_variegatus_0,-77.7667,7.1167
bradypus_variegatus_0,-76.6667,5.7
bradypus_variegatus_0,-75.6833,8.2833
bradypus_variegatus_0,-74.7333,9.1167
bradypus_variegatus_0,-74.3,4.5833
bradypus_variegatus_0,-73.6167,4.15
bradypus_variegatus_0,-72.5167,7.9
bradypus_variegatus_0,-73.9167,7.1667
bradypus_variegatus_0,-76.9333,4
bradypus_variegatus_0,-83.4667,8.95
bradypus_variegatus_0,-79.4667,0.3333
bradypus_variegatus_0,-79.75,-1.5333
bradypus_variegatus_0,-85.9333,13.1833
bradypus_variegatus_0,-81.8,8.9333
bradypus_variegatus_0,-82.25,9.1833
bradypus_variegatus_0,-79.8167,9.1667
bradypus_variegatus_0,-79.9333,9.25
bradypus_variegatus_0,-77.3,8.1667
bradypus_variegatus_0,-79.5833,8.95
bradypus_variegatus_0,-79.35,9.2333
bradypus_variegatus_0,-79.6,8.9
bradypus_variegatus_0,-72.1,-3.3167
bradypus_variegatus_0,-76.05,-5.8333
microryzomys_minutus_0,-72.5,-13.1667
microryzomys_minutus_0,-72.5667,-13.1167
microryzomys_minutus_0,-75.8667,-10.4667
microryzomys_minutus_0,-77.55,-6.18333
microryzomys_minutus_0,-78.9833,-2.28333
microryzomys_minutus_0,-78.4333,-1.45
microryzomys_minutus_0,-77.8833,-0.45
microryzomys_minutus_0,-78.4,-0.21667
microryzomys_minutus_0,-78.6,-0.1
microryzomys_minutus_0,-76.6,1.916667
microryzomys_minutus_0,-76.5667,1.95
microryzomys_minutus_0,-76.95,2.533333
microryzomys_minutus_0,-77.2,2.666667
microryzomys_minutus_0,-75.3667,4.433333
microryzomys_minutus_0,-75.5667,4.633333
microryzomys_minutus_0,-74.6333,4.85
microryzomys_minutus_0,-75.55,6.166667
microryzomys_minutus_0,-76.0667,6.466667
microryzomys_minutus_0,-71.4,8.6
microryzomys_minutus_0,-71.35,8.633333
microryzomys_minutus_0,-63.5333,10.2
microryzomys_minutus_0,-73.65,10.71667
microryzomys_minutus_0,-79.0167,-3.41667
microryzomys_minutus_0,-78.5,-1.3
microryzomys_minutus_0,-78.1333,-0.36667
microryzomys_minutus_0,-77.8167,0.6
microryzomys_minutus_0,-75.3833,4.96667
bradypus_variegatus_1,-65.4,-10.3833
bradypus_variegatus_1,-65.1333,-16.8
bradypus_variegatus_1,-64.8333,-0.5167
bradypus_variegatus_1,-60.0167,-3.1333
bradypus_variegatus_1,-55.55,-1.9167
bradypus_variegatus_1,-55.5,-3.6667
bradypus_variegatus_1,-55.1333,-2.8333
bradypus_variegatus_1,-55,-2.4333
bradypus_variegatus_1,-54.7,-2.4333
bradypus_variegatus_1,-55.2833,-3.45
bradypus_variegatus_1,-73.4333,10.15
bradypus_variegatus_1,-76.6833,5.1
bradypus_variegatus_1,-76.6667,5.7
bradypus_variegatus_1,-74.7333,9.1167
bradypus_variegatus_1,-71.3167,12.35
bradypus_variegatus_1,-72.5833,8.5
bradypus_variegatus_1,-76.9333,4
bradypus_variegatus_1,-79.65,-3.7167
bradypus_variegatus_1,-79.4667,0.3333
bradypus_variegatus_1,-79.75,-1.5333
bradypus_variegatus_1,-79.6,-0.4667
bradypus_variegatus_1,-83.7,10.9333
bradypus_variegatus_1,-83.7667,12.15
bradypus_variegatus_1,-82.5167,9.45
bradypus_variegatus_1,-81.8,8.9333
bradypus_variegatus_1,-82.7833,9.6
bradypus_variegatus_1,-82.25,9.1833
bradypus_variegatus_1,-79.9833,9.25
bradypus_variegatus_1,-77.7333,8.1333
bradypus_variegatus_1,-79.5833,8.95
bradypus_variegatus_1,-74.2167,-4.8333
bradypus_variegatus_1,-65.55,3.1667
bradypus_variegatus_1,-67.6833,10.3667
bradypus_variegatus_1,-68.3833,10.5333
bradypus_variegatus_1,-72.6,9.15
microryzomys_minutus_1,-64.7,-17.85
microryzomys_minutus_1,-67.9833,-15.9
microryzomys_minutus_1,-72.5667,-13.1167
microryzomys_minutus_1,-72.35,-12.8833
microryzomys_minutus_1,-76.15,-9.7
microryzomys_minutus_1,-79.05,-6.9
microryzomys_minutus_1,-77.7,-6.63333
microryzomys_minutus_1,-77.55,-6.18333
microryzomys_minutus_1,-77.3333,-6.11667
microryzomys_minutus_1,-79.6,-5.4
microryzomys_minutus_1,-79.6667,-3.66667
microryzomys_minutus_1,-79.6833,-3.63333
microryzomys_minutus_1,-78.9833,-2.28333
microryzomys_minutus_1,-78.4167,0.116667
microryzomys_minutus_1,-78.5333,0.15
microryzomys_minutus_1,-76.4833,1.95
